,prompt,content
0,"A1,  General Terms","one', 'something', 'whose', 'a', 'the', 'who', 'someone', 'an', 'A1', 'bus', 'catch', 'have'"
1,"A1,  Emotions","angry', 'hurt', 'cry'"
2,"A1,  Education","school', 'answer', 'homework', 'question', 'help', 'ask', 'answer'"
3,"A1,  Family (Young)",", 'baby', 'boy', 'girl', 'son', 'he', 'kid', 'brother', 'brother'"
4,"A1,  Sports","sport', 'ball', 'badminton', 'basketball', 'soccer', 'swimming', 'baseball', 'sports', 'game', 'football', 'tennis', 'hockey', 'tennis', 'roller'"
5,"A1,  Adjectives","from', 'between', 'tall', 'close', 'small', 'with', 'around', 'long', 'by', 'short', 'wait', 'little', 'along', 'difference', 'quick'"
6,"A1,  Footwear","shoe', 'boots'"
7,"A1,  Transport",bus'
8,"A1,  Desserts","cake', 'pancake', 'pie'"
9,"A1,  Sweets","candy', 'chocolate', 'toy', 'milk'"
10,"A1,  Action",catch'
11,"A1,  Food and Animals","rabbit', 'soup', 'kitchen', 'chicken', 'parrot', 'food', 'cook', 'salad', 'hungry', 'burger', 'meatballs', 'cheese', 'vegetable', 'bird', 'meat', 'sandwich', 'sausage', 'egg', 'pasta', 'duck', 'dinner', 'cage', 'penguin', 'plate'"
12,"A1,  Quantities","number', 'many', 'count', 'lots'"
13,"A1,  Varied Concepts","cross', 'afternoon', 'about', 'again', 'hippo', 'Pat', 'polar', 'teddy', 'bring', 'det', 'poss', 'island', 'map', 'mean', 'moon', 'pair', 'picnic', 'straight'"
14,"A1,  Time","evening', 'Sunday', 'week', 'night', 'today', 'Friday', 'Tuesday', 'birthday', 'weekend', 'Wednesday', 'holiday', 'day', 'morning', 'Saturday', 'yesterday', 'Thursday', 'Monday'"
15,"A1,  Body Parts","neck', 'head', 'nose', 'moustache', 'helmet', 'earache', 'hair', 'goat', 'face', 'curly', 'ear', 'ear', 'ear', 'toothache', 'toothache'"
16,"A1,  Vision","glasses', 'eye'"
17,"A1,  Family (Adult)","grandpa', 'grandson', 'uncle', 'father', 'grandmother', 'dad', 'mum', 'sister', 'daughter', 'family', 'grandfather', 'parent', 'mother'"
18,"A1,  Snacks","potato', 'chips', 'fries'"
19,"A1,  Nature","plant', 'farmer', 'countryside', 'flower', 'park', 'garden', 'farm', 'grass', 'village', 'leaf/leaves', 'Lily'"
20,"A1,  Farm Animals","donkey', 'sheep', 'animal', 'beard'"
21,"A1,  Family (Extended)","grandma', 'aunt', 'cousin', 'granddaughter', 'Mrs', 'Mary', 'grandparent'"
22,"A1,  Possession",have'
23,"A1,  Aviation","helicopter', 'kite', 'plane', 'fly', 'sky'"
24,"A1,  Ice Sports","skate', 'ice', 'hockey', 'roller', 'roller'"
25,"A1,  Clothing","skirt', 'clothes', 'coat', 'sweater', 'jeans', 'shirt', 'jacket', 'wear', 'swimsuit', 'T-shirt', 'swimsuit'"
26,"A1,  Home","bedroom', 'dining', 'house', 'into', 'café', 'cupboard'"
27,"A1,  Writing","write', 'letter', 'spell', 'alphabet'"
28,"A1,  Senses","listen', 'watch'"
29,"A1,  Life","live', 'grown-up', 'living', 'home', 'work'"
30,"A1,  Vehicles","lorry', 'truck'"
31,"A1,  Frequency","some', 'often', 'more', 'most', 'every', 'sometimes'"
32,"A1,  Assorted Terms","Mark', 'hippo', 'Pat', 'polar', 'teddy', 'bring', 'det', 'poss', 'island', 'map', 'mean', 'moon', 'pair', 'picnic', 'straight'"
33,"A1,  Pronouns","him', 'she', 'her', 'you', 'everyone', 'me', 'my'"
34,"A1,  Wild Animals","elephant', 'lion', 'monkey', 'banana'"
35,"A1,  Rodents","mouse/mice', 'mouse'"
36,"A1,  Oral Hygiene","mouth', 'toothbrush', 'dentist', 'tooth/teeth', 'toothache', 'toothache'"
37,"A1,  Sequence","last', 'now', 'after', 'second'"
38,"A1,  Connectors","so', 'then', 'well', 'that', 'oh'"
39,"A1,  Stationery","poster', 'pen', 'paper'"
40,"A1,  Art","draw', 'drawing', 'paint', 'pencil', 'crayon', 'painting'"
41,"A1,  Media","photo', 'video', 'picture'"
42,"A1,  Actions","get', 'put', 'give', 'give'"
43,"A1,  Direction","right(as', 'right'"
44,"A1,  Building","room', 'inside', 'bathroom', 'wall', 'hall', 'apartment', 'bed', 'place', 'floor'"
